Dataset,Quantile,Execution_Level,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
P2P,0.8,0.25,Vanilla,0.886577380952381,0.01700418240868277,0.8987388273556032,0.0088092148032318
P2P,0.8,0.25,CSW,0.9167261904761904,0.033314992828537865,0.9179600727169597,0.01727718404912539
P2P,0.8,0.25,EAL,0.8920535714285714,0.014778516478988323,0.9129645852161591,0.009109971579085701
P2P,0.8,0.25,BMSE,0.8692559523809524,0.023687746612313345,0.8880601952712729,0.020026178110818946
P2P,0.8,0.25,SERA,0.9276488095238093,0.022671461827722856,0.9365071789550445,0.01580895279852138
P2P,0.8,0.5,Vanilla,0.9424404761904762,0.006485091047602286,0.9467128762129929,0.003964633609671921
P2P,0.8,0.5,CSW,0.9246428571428572,0.038411396179184105,0.9309278193607481,0.028308882307998457
P2P,0.8,0.5,EAL,0.9059523809523811,0.01726703536233369,0.9167384830698782,0.008599610266693728
P2P,0.8,0.5,BMSE,0.9048809523809525,0.020233280239538493,0.915152998755113,0.011886813252401518
P2P,0.8,0.5,SERA,0.9341071428571428,0.02331385089220649,0.9393034222050345,0.020142996164010264
P2P,0.8,0.75,Vanilla,0.9711904761904762,0.0025288864031247408,0.9714259570887425,0.002404469020422808
P2P,0.8,0.75,CSW,0.9439880952380953,0.028550029188543134,0.9474570522853016,0.022439119576670444
P2P,0.8,0.75,EAL,0.9273214285714285,0.01428478419591316,0.9370591442779033,0.009661512282713754
P2P,0.8,0.75,BMSE,0.9261904761904762,0.011559349098772854,0.9386076927026714,0.005646351115791487
P2P,0.8,0.75,SERA,0.950297619047619,0.0200534291999084,0.9512672270041689,0.01458298508362647
P2P,0.9,0.25,Quantile,0.9133355614973262,0.012369471340428094,0.9056825962910763,0.006001131803913957
P2P,0.9,0.25,Vanilla,0.9053141711229944,0.019735389480782805,0.8903138722449621,0.015383099613131735
P2P,0.9,0.25,CSW,0.9376671122994653,0.01024236177628055,0.9073006695012783,0.015487635564722489
P2P,0.9,0.25,EAL,0.9390040106951872,0.0038107467416415215,0.9214159522576161,0.006859263715681497
P2P,0.9,0.25,BMSE,0.924899732620321,0.009638773202041956,0.911298426879305,0.005712247702022081
P2P,0.9,0.25,SERA,0.9380013368983956,0.011790598785001738,0.926258094178557,0.01153713479877829
P2P,0.9,0.5,Quantile,0.958355614973262,0.006757621366898407,0.9414318819211708,0.007727690162599666
P2P,0.9,0.5,Vanilla,0.9481951871657752,0.0054714924945672054,0.9470895442053363,0.0027051381030012015
P2P,0.9,0.5,CSW,0.9612299465240641,0.0028823844102038934,0.9495086059361215,0.003498249021368038
P2P,0.9,0.5,EAL,0.9647727272727273,0.002334792673338597,0.9531310230208805,0.002330400956882707
P2P,0.9,0.5,BMSE,0.9601604278074867,0.005539463951598311,0.9485203825464279,0.006624838657633137
P2P,0.9,0.5,SERA,0.9609625668449198,0.005468429234555855,0.9535942579040144,0.004268564545548142
P2P,0.9,0.75,Quantile,0.9717914438502675,0.00099147038597533,0.9690304818606057,0.002150701879586942
P2P,0.9,0.75,Vanilla,0.9697192513368984,0.0014100951276556709,0.9667647095154589,0.0017712582001975692
P2P,0.9,0.75,CSW,0.970120320855615,0.0035339411464936246,0.9645690884656327,0.002413401433967359
P2P,0.9,0.75,EAL,0.9688502673796793,0.001954571058451046,0.9659281644132243,0.0012725525477255415
P2P,0.9,0.75,BMSE,0.9706550802139038,0.0024492073476686115,0.9657517671712526,0.0015355956337873462
P2P,0.9,0.75,SERA,0.9720588235294118,0.007104140207453843,0.962641184339853,0.0077720413171318715
P2P,0.95,0.25,Quantile,0.8640686274509803,0.02903641206627346,0.5470111182372557,0.013964924308561326
P2P,0.95,0.25,Vanilla,0.829264705882353,0.02458175712891149,0.5730175441062515,0.005689210216795529
P2P,0.95,0.25,CSW,0.8774999999999998,0.007203130727135433,0.5366484660805654,0.024836474602095374
P2P,0.95,0.25,EAL,0.886421568627451,0.0037556826096819384,0.5580788977819793,0.015266222015885468
P2P,0.95,0.25,BMSE,0.8694607843137255,0.014926450465229987,0.543531862937565,0.033731244839834
P2P,0.95,0.25,SERA,0.8802450980392157,0.009520410499066817,0.5945130584010756,0.020472026534770982
P2P,0.95,0.5,Quantile,0.8841176470588236,0.010448193352398513,0.6863683210606564,0.025088700798637474
P2P,0.95,0.5,Vanilla,0.8890196078431373,0.005898670179016253,0.7625467745571448,0.01893409894757059
P2P,0.95,0.5,CSW,0.9114705882352941,0.0026703316078362967,0.77595425543006,0.013068155769328302
P2P,0.95,0.5,EAL,0.9140196078431373,0.002742470731509632,0.7699037034759114,0.018852842368703195
P2P,0.95,0.5,BMSE,0.9097058823529413,0.009081204844634809,0.7767457850891973,0.036187191210667685
P2P,0.95,0.5,SERA,0.911764705882353,0.0069928150086701136,0.7924923402123207,0.012346662199085095
P2P,0.95,0.75,Quantile,0.9447058823529411,0.0030098198888253024,0.8747614331775134,0.028757901078750772
P2P,0.95,0.75,Vanilla,0.9427450980392157,0.0018472003609231679,0.9077014605097717,0.0034153901055382525
P2P,0.95,0.75,CSW,0.9433333333333331,0.0022887485352801394,0.9015052325097302,0.014309532325500052
P2P,0.95,0.75,EAL,0.9440196078431372,0.002335515539131713,0.9133091339506215,0.008219908450929476
P2P,0.95,0.75,BMSE,0.9467647058823528,0.003510981290092139,0.9138234695987165,0.00759733960495191
P2P,0.95,0.75,SERA,0.9458823529411765,0.01301837491209208,0.8887507237489674,0.03211902112180138
BPIC15_1,0.8,0.25,Vanilla,0.6778430093498586,0.03448736179117676,0.39955302731435843,0.06062111390471657
BPIC15_1,0.8,0.25,CSW,0.6679712981082844,0.02894751817123488,0.3890920698906918,0.03448847774680513
BPIC15_1,0.8,0.25,EAL,0.6323983474668406,0.03607829506938741,0.3564450599705505,0.057676193900096304
BPIC15_1,0.8,0.25,BMSE,0.6222657099369429,0.02727376675792907,0.400909875346636,0.010865671565744762
BPIC15_1,0.8,0.25,SERA,0.6494890193520331,0.06211839880209872,0.33673286724799767,0.11376795158247646
BPIC15_1,0.8,0.5,Vanilla,0.7675581648184389,0.018947747518935475,0.5373157799858441,0.04862360381745295
BPIC15_1,0.8,0.5,CSW,0.7815612089584693,0.023408047658090975,0.6118057954442564,0.04965372268453052
BPIC15_1,0.8,0.5,EAL,0.8005870841487279,0.012855659166046945,0.5494966664698107,0.060550779286404885
BPIC15_1,0.8,0.5,BMSE,0.7855620787127636,0.026494245543209984,0.5627812588374975,0.015297783991343007
BPIC15_1,0.8,0.5,SERA,0.7783866057838661,0.06400554738635988,0.490191379199352,0.15059906398394726
BPIC15_1,0.8,0.75,Vanilla,0.7810828440965427,0.013915559079600572,0.6085147755205655,0.08652886706340475
BPIC15_1,0.8,0.75,CSW,0.8011089367253751,0.008419815686368865,0.6597209943947047,0.053177844092195045
BPIC15_1,0.8,0.75,EAL,0.8066318764948901,0.013649705375495466,0.5676737046338558,0.09161565993140536
BPIC15_1,0.8,0.75,BMSE,0.8227440747988692,0.04004956457674023,0.6420123563056526,0.04902513466803727
BPIC15_1,0.8,0.75,SERA,0.8293107197216786,0.024505529826737933,0.6575360657610164,0.08284660772454183
BPIC15_1,0.9,0.25,Quantile,0.6123769338959212,0.10334251317022003,0.34903487593496424,0.004778051244577587
BPIC15_1,0.9,0.25,Vanilla,0.6855133614627285,0.10195984244697641,0.35092262029583005,0.005246590038079642
BPIC15_1,0.9,0.25,CSW,0.6559774964838255,0.04761892045163004,0.35337050064175535,0.005079862765031848
BPIC15_1,0.9,0.25,EAL,0.6092827004219409,0.04491243574931701,0.3476248575814306,0.0026749318690605
BPIC15_1,0.9,0.25,BMSE,0.6039381153305203,0.07068542584065735,0.3462123255804689,0.0028532324576626997
BPIC15_1,0.9,0.25,SERA,0.5452883263009844,0.08257786301182116,0.2528689026585535,0.13499774678336632
BPIC15_1,0.9,0.5,Quantile,0.8649789029535866,0.03965646182804973,0.42380266559051005,0.052744128973533436
BPIC15_1,0.9,0.5,Vanilla,0.7684950773558368,0.113072646362021,0.6442402943174503,0.0791180683536023
BPIC15_1,0.9,0.5,CSW,0.6970464135021097,0.014155822942431664,0.604598916320396,0.14910122897440495
BPIC15_1,0.9,0.5,EAL,0.6770745428973276,0.004727914574956837,0.3604042428593443,0.18798177247959685
BPIC15_1,0.9,0.5,BMSE,0.8106891701828411,0.08262097085774947,0.464052618558599,0.0716414540892292
BPIC15_1,0.9,0.5,SERA,0.7288326300984529,0.04129851241600729,0.28968275406342564,0.1207286434159192
BPIC15_1,0.9,0.75,Quantile,0.6340365682137834,0.050987196205505195,0.09969268676540508,0.06182595607835926
BPIC15_1,0.9,0.75,Vanilla,0.6880450070323487,0.03428441338718815,0.23087096355640738,0.04806139097980085
BPIC15_1,0.9,0.75,CSW,0.6748241912798874,0.003640556710420458,0.3115146966039923,0.10571152219817091
BPIC15_1,0.9,0.75,EAL,0.6703234880450071,0.010316242374622931,0.24474892733861342,0.1564828099007633
BPIC15_1,0.9,0.75,BMSE,0.7561181434599156,0.09274492386109397,0.24813655040632251,0.08825615055460405
BPIC15_1,0.9,0.75,SERA,0.7150492264416315,0.02854128816561812,0.4150309898996297,0.021084349687649957
BPIC15_1,0.95,0.25,Quantile,,0.0,,0.0
BPIC15_1,0.95,0.25,Vanilla,,0.0,,0.0
BPIC15_1,0.95,0.25,CSW,,0.0,,0.0
BPIC15_1,0.95,0.25,EAL,,0.0,,0.0
BPIC15_1,0.95,0.25,BMSE,,0.0,,0.0
BPIC15_1,0.95,0.25,SERA,,0.0,,0.0
BPIC15_1,0.95,0.5,Quantile,,0.0,,0.0
BPIC15_1,0.95,0.5,Vanilla,,0.0,,0.0
BPIC15_1,0.95,0.5,CSW,,0.0,,0.0
BPIC15_1,0.95,0.5,EAL,,0.0,,0.0
BPIC15_1,0.95,0.5,BMSE,,0.0,,0.0
BPIC15_1,0.95,0.5,SERA,,0.0,,0.0
BPIC15_1,0.95,0.75,Quantile,,0.0,,0.0
BPIC15_1,0.95,0.75,Vanilla,,0.0,,0.0
BPIC15_1,0.95,0.75,CSW,,0.0,,0.0
BPIC15_1,0.95,0.75,EAL,,0.0,,0.0
BPIC15_1,0.95,0.75,BMSE,,0.0,,0.0
BPIC15_1,0.95,0.75,SERA,,0.0,,0.0
BPIC_2017_W,0.8,0.25,Vanilla,0.6759416430636207,0.015026941396263349,0.4965394087306416,0.00837071017016632
BPIC_2017_W,0.8,0.25,CSW,0.6932960241170274,0.014621797886454473,0.5049162106489522,0.00622870997517857
BPIC_2017_W,0.8,0.25,EAL,0.6724642126789366,0.004025610199456504,0.4926163179065883,0.0023942481190091726
BPIC_2017_W,0.8,0.25,BMSE,0.6913412362528205,0.010689889519107685,0.5029829972317204,0.005505664676812755
BPIC_2017_W,0.8,0.25,SERA,0.7719195382187082,0.015056128851166794,0.5297390802456527,0.005855892374432106
BPIC_2017_W,0.8,0.5,Vanilla,0.8261040210841728,0.004584936843165701,0.7076834651588262,0.0026313954453581197
BPIC_2017_W,0.8,0.5,CSW,0.8267033926416822,0.0027467832907651897,0.7043755656393119,0.0031109291529816943
BPIC_2017_W,0.8,0.5,EAL,0.8246160267416132,0.004241131721645336,0.7055823034052244,0.002482007916792843
BPIC_2017_W,0.8,0.5,BMSE,0.8293200317866504,0.006844731399647482,0.7087839602889894,0.010478511246263365
BPIC_2017_W,0.8,0.5,SERA,0.8334745870833926,0.007508457751537732,0.7051422914404313,0.006528210394283804
BPIC_2017_W,0.8,0.75,Vanilla,0.9157387844522453,0.00117880449802152,0.8516670582006096,0.001968051061031812
BPIC_2017_W,0.8,0.75,CSW,0.9151488723394173,0.0017690211817852717,0.8493419945440358,0.005024146187271742
BPIC_2017_W,0.8,0.75,EAL,0.915770060766452,0.0004660712516530589,0.8527547090666069,0.00109012602424243
BPIC_2017_W,0.8,0.75,BMSE,0.9173012878696747,0.0047944152271804695,0.8498058489034588,0.009877381517074488
BPIC_2017_W,0.8,0.75,SERA,0.9055460596582936,0.005109272868701712,0.8481147184164284,0.013468628418423856
BPIC_2017_W,0.9,0.25,Quantile,0.6319286813115882,0.008586717555514316,0.34143416534616206,0.00805442086509836
BPIC_2017_W,0.9,0.25,Vanilla,0.7019018406557941,0.014096237412748569,0.3793306959684787,0.005761705382649022
BPIC_2017_W,0.9,0.25,CSW,0.7247448389560652,0.014170037382008407,0.3883186302696311,0.0038590888634800905
BPIC_2017_W,0.9,0.25,EAL,0.7002272580575756,0.006237567369075302,0.3769139323306339,0.002767104696264007
BPIC_2017_W,0.9,0.25,BMSE,0.7215831952751839,0.012697490974847934,0.38743648400492187,0.0030561078206565633
BPIC_2017_W,0.9,0.25,SERA,0.7897528803950256,0.014025669993574205,0.4025452878435473,0.0037089997467835483
BPIC_2017_W,0.9,0.5,Quantile,0.8083775522828004,0.009440621967967886,0.5898980817513678,0.012899380690279197
BPIC_2017_W,0.9,0.5,Vanilla,0.8373916826240372,0.004556446845163476,0.6234960375732562,0.002529056422430872
BPIC_2017_W,0.9,0.5,CSW,0.8378302637807135,0.0028517507945607923,0.6177025827802453,0.004569152752483614
BPIC_2017_W,0.9,0.5,EAL,0.8363714418649684,0.0031350013009132185,0.6228813662456736,0.0016031620767460188
BPIC_2017_W,0.9,0.5,BMSE,0.8405688578467231,0.005344231689068089,0.6244452949207885,0.007973454083296864
BPIC_2017_W,0.9,0.5,SERA,0.8468552325831575,0.006346289225899533,0.6254889832357995,0.00411132506262287
BPIC_2017_W,0.9,0.75,Quantile,0.9102883353414519,0.004311531820931468,0.75930399911876,0.01628087428897474
BPIC_2017_W,0.9,0.75,Vanilla,0.9191816558371702,0.0013778771152886172,0.7967146622442153,0.0021204994799744604
BPIC_2017_W,0.9,0.75,CSW,0.9199408860105855,0.0015001190468467583,0.7964193022775834,0.004169410142685143
BPIC_2017_W,0.9,0.75,EAL,0.9200326633030681,0.0009266369769576477,0.797605879798591,0.0015282112726450157
BPIC_2017_W,0.9,0.75,BMSE,0.9216355049700933,0.003043536607141957,0.7972475486041535,0.007726332350581777
BPIC_2017_W,0.9,0.75,SERA,0.9096428686690479,0.0033306270143602505,0.7897895610177674,0.010278721804989182
BPIC_2017_W,0.95,0.25,Quantile,0.6727482018874984,0.01742844390527319,0.26145638281762223,0.007919220236347908
BPIC_2017_W,0.95,0.25,Vanilla,0.7137684228578556,0.013563218674050555,0.28373027032948017,0.0033393858583989702
BPIC_2017_W,0.95,0.25,CSW,0.7463323182139442,0.016645729242148622,0.29269779982834077,0.0032488318951486793
BPIC_2017_W,0.95,0.25,EAL,0.712497531492953,0.004782717277167838,0.2814315939542915,0.002173492416143831
BPIC_2017_W,0.95,0.25,BMSE,0.7354285328233484,0.017541794627509263,0.29240425926388947,0.005387567371353246
BPIC_2017_W,0.95,0.25,SERA,0.8119997375587247,0.00972880671539788,0.31360719043069474,0.005873655901832957
BPIC_2017_W,0.95,0.5,Quantile,0.8303329496320625,0.011334718382300196,0.4785860826363195,0.017958882845290593
BPIC_2017_W,0.95,0.5,Vanilla,0.855088502473704,0.0035761071131417068,0.521036009442663,0.0027781601481175616
BPIC_2017_W,0.95,0.5,CSW,0.85716308776452,0.003047675667976532,0.5163641544666564,0.0038084771264356113
BPIC_2017_W,0.95,0.5,EAL,0.8541468319960088,0.00281341555586958,0.5197895592551287,0.001258179258747344
BPIC_2017_W,0.95,0.5,BMSE,0.8599970637758283,0.0046986873062509656,0.5217875047937877,0.004745069019577076
BPIC_2017_W,0.95,0.5,SERA,0.8688764135450878,0.0044734657198457015,0.543637192406908,0.0053339749773250395
BPIC_2017_W,0.95,0.75,Quantile,0.9209604830998213,0.003377102526501671,0.6818955077130637,0.02050363458994548
BPIC_2017_W,0.95,0.75,Vanilla,0.9245239679042114,0.0012636194653888883,0.7254068771276498,0.002461803264200116
BPIC_2017_W,0.95,0.75,CSW,0.9229792021785224,0.0012451706441819633,0.7233668118762818,0.004102596819361269
BPIC_2017_W,0.95,0.75,EAL,0.9241086091132085,0.0010532746511930815,0.7243117584258367,0.0029126620185103954
BPIC_2017_W,0.95,0.75,BMSE,0.926206450338835,0.0012709073426667686,0.7226833660331213,0.005753867307116832
BPIC_2017_W,0.95,0.75,SERA,0.9186529486966283,0.0008854234375326555,0.7227762443267999,0.0070517975407667225
Sepsis,0.8,0.25,Vanilla,0.7525010508617066,0.02067427194492282,0.3149934862880503,0.034110926344096855
