dataset,nAUSE,nAURG,nAURG_ratio
P2P,0.1468224804360516,0.3472590653078375,0.7028375544466133
BPIC_2017_W,1.0766604717092814,-0.32191499540736224,-0.4265212651351981
BPIC15_1,0.20301918386609433,0.6291128934650853,0.7560252880561713
BPIC15_2,1.5009643278297022,-0.2020381828414152,-0.15554247146456282
BPIC15_3,0.09451896308996115,0.8166320399253731,0.8962642166038746
BPIC15_4,0.48636180466920503,0.10841923009959487,0.18228427566077157
BPIC15_5,0.30798318249802586,0.31675714783912934,0.5070220897507676
HelpDesk,0.31060256014477466,0.0831366738496443,0.21114653220162133
Sepsis,0.1944772823875473,0.7623421124691498,0.7967460908161522
BPIC20ID,0.09403055325454358,0.771886287619983,0.8914092568524501
BPIC20DD,0.527550086510947,0.25933438058888686,0.329571101517225
BPIC20PTC,0.14808317543603777,0.9725592549251351,0.8678586751455485
BPIC20TPD,0.11664756793260184,0.5509121519584143,0.825262722634545
BPIC20RFP,0.4300219775988151,0.28897682767448113,0.4019155881137231
