dataset,Spearman1,Spearman2,Spearman3
P2P,0.8923067807050449,0.6306395246166114,0.45790122292881064
BPIC_2017_W,0.3825794981462289,0.35444463712019736,-0.4282149580881332
BPIC15_1,0.29763742054788817,0.54611108403469,0.5515143609018933
BPIC15_2,-0.1956225766330394,0.30723151855753084,-0.2236597560213631
BPIC15_3,0.683782214153963,0.6258122379378533,0.6435908122850398
BPIC15_4,-0.6933312724472869,0.38984961370216176,0.09144142071840383
BPIC15_5,0.6019914987632249,0.4422757564328807,0.32498074720538317
HelpDesk,-0.4144099837144729,-0.40088915594520225,-0.5259006941127623
Sepsis,0.5054902996877969,0.2742569417054058,0.38733167778040495
BPIC20ID,0.6445643236780971,0.8105295005567054,0.8005725792927142
BPIC20DD,0.46991235877043713,0.48133272940704447,0.21380796642969246
BPIC20PTC,0.5639004536925032,0.6953787908475846,0.6729094001435321
BPIC20TPD,0.6126146871407553,0.6897014486535217,0.6791695063734896
BPIC20RFP,0.5498854390361133,0.47519266199691435,0.21798533927056812
