Quantile,Execution_Level,Metric,n_datasets,k_methods,Friedman_chi2,Friedman_p,Kendalls_W,CD(alpha=0.05)
0.9,0.25,AUC,7,6,7.408163265306115,0.19201081847478124,0.21166180758017472,4.030092053180576
0.9,0.25,PR-AUC,7,6,8.224489795918345,0.14428983027587483,0.23498542274052414,4.030092053180576
0.9,0.5,AUC,7,6,13.938775510204067,0.016003035024783042,0.39825072886297336,4.030092053180576
0.9,0.5,PR-AUC,7,6,16.14285714285714,0.006447827778183805,0.46122448979591824,4.030092053180576
0.9,0.75,AUC,7,6,18.51020408163265,0.0023704809580354274,0.5288629737609328,4.030092053180576
0.9,0.75,PR-AUC,7,6,18.83673469387753,0.002061459005705495,0.5381924198250724,4.030092053180576
0.95,0.25,AUC,7,6,10.918367346938766,0.05302275788812898,0.311953352769679,4.030092053180576
0.95,0.25,PR-AUC,7,6,12.142857142857139,0.0328818823052829,0.34693877551020397,4.030092053180576
0.95,0.5,AUC,7,6,14.428571428571416,0.013104466343130937,0.41224489795918334,4.030092053180576
0.95,0.5,PR-AUC,7,6,20.551020408163254,0.0009845023668728996,0.5871720116618072,4.030092053180576
0.95,0.75,AUC,7,6,13.15573770491801,0.02196223667455439,0.3758782201405146,4.030092053180576
0.95,0.75,PR-AUC,7,6,17.367346938775484,0.0038533165318264634,0.49620991253644237,4.030092053180576
