Dataset,Quantile,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
P2P,0.9,BMSE,0.7815061339522547,0.012308027639193694,0.19356456477117043,0.012399729042075815
P2P,0.9,CSW,0.7104111405835545,0.10346737242036362,0.17239768434945005,0.02845426667368567
P2P,0.9,EAL,0.7823209549071618,0.029201297634860998,0.2012009921052283,0.04113045665308956
P2P,0.9,Quantile,0.7670689655172414,0.0055121483964728265,0.17752006224695016,0.0038715494489757244
P2P,0.9,SERA,0.7020673076923076,0.06666481003331662,0.16262027384972488,0.017363948259871132
P2P,0.9,Vanilla,0.7640923408488064,0.024234138523428084,0.18920858764184045,0.01860187874583636
P2P,0.95,BMSE,0.767839645750895,0.015124841610917785,0.09964267270591623,0.007936170034902058
P2P,0.95,CSW,0.7022627347528422,0.10573880292706826,0.08945685898459094,0.017488351214867727
P2P,0.95,EAL,0.7689890710382514,0.026170088916548102,0.10751797608309663,0.026168714019143655
P2P,0.95,Quantile,0.7550766283524905,0.006530430534146615,0.09458912589408804,0.0034108859005205143
P2P,0.95,SERA,0.6795191884931852,0.06079142750279972,0.08901392958999277,0.012599335579590872
P2P,0.95,Vanilla,0.7537984423089001,0.02846661442453768,0.10002784408327518,0.012109761452598986
BPIC15_1,0.9,BMSE,0.7213790264020921,0.02254967792410767,0.24115497137165393,0.014847142289422816
BPIC15_1,0.9,CSW,0.6951626438420647,0.012188324844072779,0.20904409885563152,0.011892958659326247
BPIC15_1,0.9,EAL,0.7082107494694168,0.0174699825603591,0.22437565139399823,0.019314236416674638
BPIC15_1,0.9,Quantile,0.705468587192744,0.015978414535248717,0.22062262611925432,0.01988806623324261
BPIC15_1,0.9,SERA,0.6806633788275007,0.07430107603047685,0.20572305732927937,0.06538324553124224
BPIC15_1,0.9,Vanilla,0.6621633941441918,0.017826534355695544,0.17797731014034185,0.012304858247469916
BPIC15_1,0.95,BMSE,0.7134061813195285,0.019441219339950508,0.15217255010756042,0.018183884999281752
BPIC15_1,0.95,CSW,0.6945031979786226,0.006683060607296248,0.14117235966006342,0.018191544919912324
BPIC15_1,0.95,EAL,0.7050795537015755,0.01589127545959198,0.16194882073716252,0.03143290697090227
BPIC15_1,0.95,Quantile,0.7033197094578341,0.011047493268317382,0.12098827871314873,0.027431513788337795
BPIC15_1,0.95,SERA,0.6633513705769519,0.0708316500872152,0.11127076423140167,0.048316294908157455
BPIC15_1,0.95,Vanilla,0.668566923176556,0.02790771481951547,0.10898600684131168,0.017068839696130936
BPIC_2017_W,0.9,BMSE,0.6497820279125682,0.0017311364829167262,0.1488929803316858,0.002656972817305799
BPIC_2017_W,0.9,CSW,0.6529141981221963,0.002713144206273267,0.1554100218623958,0.0029496965573336024
BPIC_2017_W,0.9,EAL,0.6517454786551713,0.0017988115254785194,0.15385727659700435,0.0017271347733064945
BPIC_2017_W,0.9,Quantile,0.6446165964306794,0.0033763489278314093,0.1432413379073996,0.0018804139283254918
BPIC_2017_W,0.9,SERA,0.44826742593797153,0.04628564320567169,0.08936281316580745,0.009578285916233156
BPIC_2017_W,0.9,Vanilla,0.6514684094053841,0.0029079639415998033,0.15401843455452924,0.0014980321029053017
BPIC_2017_W,0.95,BMSE,0.6490753017744229,0.001863394255717245,0.07616627086621744,0.0020793168660561533
BPIC_2017_W,0.95,CSW,0.6538341167055075,0.002268734487483137,0.07986529545876031,0.0019346351513948841
BPIC_2017_W,0.95,EAL,0.6498632682444929,0.002393501740688293,0.07670136004908042,0.0002546943333978677
BPIC_2017_W,0.95,Quantile,0.6365729790789074,0.007746207752393679,0.0709985090237262,0.0017724831016781171
BPIC_2017_W,0.95,SERA,0.45564912193451745,0.04028605823864525,0.0449149805666814,0.004687693775820625
BPIC_2017_W,0.95,Vanilla,0.6492594454723064,0.0031485550818804195,0.07683701305549819,0.0016424836265378395
Sepsis,0.9,BMSE,0.5639513309708749,0.04630539639673099,0.11522449294286212,0.017776065114810075
Sepsis,0.9,CSW,0.6546785326508454,0.01383354966790223,0.16710713729376472,0.0188676452946038
Sepsis,0.9,EAL,0.6228075670258081,0.03791365644609293,0.14434068748124979,0.02949348485858418
Sepsis,0.9,Quantile,0.5906832038753863,0.04116616889562949,0.1224245034760992,0.015230000216854639
Sepsis,0.9,SERA,0.5631065731228597,0.01896985697874557,0.124950529567512,0.014272228555058527
Sepsis,0.9,Vanilla,0.6434444762620657,0.0224752357766049,0.1567744175377981,0.012091151746879376
Sepsis,0.95,BMSE,0.5420637368285789,0.05493093759682907,0.05616497016994739,0.011478260505935658
Sepsis,0.95,CSW,0.6527716382535196,0.019026494065535075,0.09348730264868174,0.022981918441008616
Sepsis,0.95,EAL,0.6086221765327394,0.03064529268776658,0.07081546702659267,0.011339403318338243
Sepsis,0.95,Quantile,0.5335974756560724,0.04805375596598381,0.05303124235004157,0.007172594034693039
Sepsis,0.95,SERA,0.5371455495588109,0.024084809685186052,0.056842755501363584,0.00603456899463695
