Dataset,Approach,config_tag,rel_thres,over_ratio,under_ratio,MAE_avg,MAE_std,MAE_many_avg,MAE_many_std,MAE_med_avg,MAE_med_std,MAE_few_avg,MAE_few_std,seeds_evaluated,total_rows,total_many_rows,total_med_rows,total_few_rows
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,8.444280927646266,0.10846436856055357,7.583655200788717,0.13043161453975446,45.742102921176965,0.8997116247937811,,0.0,5,15740,15385,355,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,8.22989862380973,0.13369125627313894,6.71257801472633,0.22048546361499347,29.137579317048118,1.0639166570368643,,0.0,5,15740,14675,1065,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,8.135129732272222,0.1486752113381372,6.546011067268256,0.3132377103814508,17.895456165485882,0.9077830246364237,81.35573476155598,1.2050198945023642,5,15740,13620,2105,15
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,8.204812257065706,0.08848681216695478,6.2780296771409665,0.1424892791182524,13.645712890675929,0.08827521598941801,74.66763401031494,0.6594036557677405,5,15740,11955,3745,40
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,8.964445727783358,0.11531171367590021,8.460581673965773,0.13312380569480442,51.329880090661945,1.4977244912702743,,0.0,5,15740,15555,185,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,8.167989713930568,0.051706700798936384,7.405954065999,0.06093836231484331,48.06507643360203,0.43254691743811063,,0.0,5,15740,15445,295,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p5,0.8,5.0,0.5,8.153225832647411,0.07795051592059972,7.042211951199571,0.10295565786498442,38.2696378333228,0.6034154045460013,,0.0,5,15740,15180,560,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under1,0.8,5.0,1.0,8.188288674224285,0.1432566970167169,6.556096360436451,0.2885816037733135,21.185825519334703,1.0610727635740245,80.74023183186848,1.1640169964369884,5,15740,14045,1680,15
BPIC20PTC,Vanilla_SMOGN,rel0p8_over10_under0p1,0.8,10.0,0.1,9.402975714615673,0.5905347795612952,8.972122977189375,0.5522035417339575,73.55899999709357,6.352569847584623,,0.0,5,15740,15635,105,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over10_under0p3,0.8,10.0,0.3,8.568952982708945,0.06442336823419212,8.115821682366903,0.06628407675992835,55.66439946492513,0.44170676435797185,,0.0,5,15740,15590,150,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over10_under0p5,0.8,10.0,0.5,8.262619403674915,0.024399372668928058,7.538561564281155,0.028752146606024712,48.980999353582206,0.22346956238206245,,0.0,5,15740,15465,275,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over10_under1,0.8,10.0,1.0,8.642342711570453,0.05915711976340841,7.51873209569015,0.07253459639868569,40.26990078820123,0.32643783071885996,,0.0,5,15740,15200,540,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over2_under0p1,0.9,2.0,0.1,8.461696204137924,0.2482388212121953,7.629888717400628,0.300524071712255,44.51059249555561,2.037720494172233,,0.0,5,15740,15385,355,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over2_under0p3,0.9,2.0,0.3,8.37373399454272,0.1609742657317966,6.919863451397243,0.2749465209979448,24.728363333972975,1.1259179218084479,,0.0,5,15740,14455,1285,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over2_under0p5,0.9,2.0,0.5,8.24319651347255,0.10521481320398343,6.743888567582421,0.20406091753202094,16.04893648243752,0.4454699948047299,79.39854011535644,0.8149581772042291,5,15740,13340,2380,20
BPIC20PTC,Vanilla_SMOGN,rel0p9_over2_under1,0.9,2.0,1.0,8.08958212045581,0.08871082884225026,6.112810216830296,0.15110299915053607,13.555010233150693,0.10289555340621169,75.10300273895264,0.5774813353699633,5,15740,11890,3810,40
BPIC20PTC,Vanilla_SMOGN,rel0p9_over5_under0p1,0.9,5.0,0.1,9.135644656699979,0.24681713455464024,8.697265766583016,0.26212518053990114,54.69782396952311,1.4000227159614187,,0.0,5,15740,15590,150,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over5_under0p3,0.9,5.0,0.3,8.259295758593643,0.09784677456297898,7.515545040278402,0.11383818992111322,48.59146190442537,0.7779440532463542,,0.0,5,15740,15455,285,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over5_under0p5,0.9,5.0,0.5,8.119181055307692,0.042606375313144644,6.8583295454541995,0.0601600070713327,36.04333361176883,0.3566984389392847,,0.0,5,15740,15060,680,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over5_under1,0.9,5.0,1.0,8.180941158760307,0.13254147333927283,6.644479767967937,0.27857411655325576,18.66161904335022,0.9112533963825958,80.71080525716145,1.0360208964413022,5,15740,13805,1920,15
BPIC20PTC,Vanilla_SMOGN,rel0p9_over10_under0p1,0.9,10.0,0.1,9.221535723833451,0.5583092976726004,8.864644958050782,0.5519002485109195,74.95241735121783,5.948364227304095,,0.0,5,15740,15655,85,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over10_under0p3,0.9,10.0,0.3,8.321087605200395,0.08059123223856954,7.857341909905594,0.08853233203999683,56.5197235361735,0.8034352449069512,,0.0,5,15740,15590,150,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over10_under0p5,0.9,10.0,0.5,8.16660540402314,0.09748080998232063,7.524353025545234,0.10963882712825371,51.476754926598595,0.7299204885925336,,0.0,5,15740,15510,230,0
BPIC20PTC,Vanilla_SMOGN,rel0p9_over10_under1,0.9,10.0,1.0,8.56970970218639,0.09571823474460958,7.441796433690037,0.12276872807899532,39.14421580178397,0.6395523464927789,,0.0,5,15740,15180,560,0
