Dataset,Approach,config_tag,rel_thres,over_ratio,under_ratio,seed,n_rows,MAE,MAE_many,MAE_med,MAE_few,n_many,n_med,n_few
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,409,3148,8.298697570076135,7.4180121996746,46.46586496057645,,3077,71,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,1824,3148,8.430404487755883,7.558523348333156,46.21601386809013,,3077,71,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,3657,3148,8.507506435412767,7.6603538177599955,45.221430442702605,,3077,71,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,4012,3148,8.584710106689108,7.758147647948787,44.40629722702671,,3077,71,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p1,0.8,2.0,0.1,4506,3148,8.400086038297438,7.523238990227045,46.40090810748893,,3077,71,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,409,3148,8.123633877029867,6.536782141276072,29.989407794576294,,2935,213,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,1824,3148,8.3144486204566,6.855580995314369,28.416685614787358,,2935,213,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,3657,3148,8.169793452210772,6.6203225556589675,29.520483975119433,,2935,213,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,4012,3148,8.42261870987382,7.026867659128504,27.65515079408744,,2935,213,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p3,0.8,2.0,0.3,4506,3148,8.118998459477588,6.523336722253737,30.106168406670083,,2935,213,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,409,3148,8.07603431486417,6.409059331761933,18.334940831055267,82.02277119954427,2724,421,3
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,1824,3148,8.147105213420364,6.567369501758777,17.846623355022803,81.3814188639323,2724,421,3
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,3657,3148,7.9310371171034575,6.120536698600094,19.11164617651715,82.85327911376953,2724,421,3
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,4012,3148,8.184663921140201,6.665128353715118,17.49864323178833,80.86119588216145,2724,421,3
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under0p5,0.8,2.0,0.5,4506,3148,8.336808094832918,6.967961450505362,16.685427233045854,79.66000874837239,2724,421,3
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,409,3148,8.292922637892799,6.436351804342394,13.516619908952904,74.10687351226807,2391,749,8
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,1824,3148,8.116368971755575,6.131843913902752,13.735685132055957,75.13282012939453,2391,749,8
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,3657,3148,8.174643792032136,6.242179996794809,13.628884376607369,75.08648586273193,2391,749,8
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,4012,3148,8.304794006759662,6.4187472003217225,13.625929301507641,73.80574131011963,2391,749,8
BPIC20PTC,Vanilla_SMOGN,rel0p8_over2_under1,0.8,2.0,1.0,4506,3148,8.13533187688836,6.161025470343159,13.721445734255783,75.20624923706055,2391,749,8
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,409,3148,8.829951719869653,8.305963184280971,52.887474266258444,,3111,37,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,1824,3148,8.889680240629891,8.367889574584911,52.76240353970914,,3111,37,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,3657,3148,9.13099059273206,8.64697996526238,49.82712740511508,,3111,37,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,4012,3148,9.00652968217033,8.520951121920982,49.83449997773042,,3111,37,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p1,0.8,5.0,0.1,4506,3148,8.965076403514857,8.461124523779619,51.33789526449667,,3111,37,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,409,3148,8.171133471716768,7.4102505641911325,48.007867392847096,,3089,59,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,1824,3148,8.254699605657912,7.5078325322161374,47.357621467719646,,3089,59,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,3657,3148,8.154361045383286,7.390179726752543,48.1637863547115,,3089,59,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,4012,3148,8.12375437175758,7.352966329664735,48.47908084675417,,3089,59,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p3,0.8,5.0,0.3,4506,3148,8.136000075137297,7.368541177170452,48.317026105977725,,3089,59,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p5,0.8,5.0,0.5,409,3148,8.214681888739975,7.125782553661168,37.73163172176906,,3036,112,0
BPIC20PTC,Vanilla_SMOGN,rel0p8_over5_under0p5,0.8,5.0,0.5,1824,3148,8.190244592394883,7.0866011588077145,38.10686480998993,,3036,112,0
